"filename","image_url","name","office","party","date_int","w_cm","color_name"
"14550024.jpg","https://tracy-st.github.io/hks-political-buttons/images/14550024.jpg","Johnson for President","President","Democrat",,18,"black"
"14550023.jpg","https://tracy-st.github.io/hks-political-buttons/images/14550023.jpg","WHIP",,,,16.2,"pink"
"14550022.jpg","https://tracy-st.github.io/hks-political-buttons/images/14550022.jpg","The Man For All Reasons",,,,8,"gray"
"14550021.jpg","https://tracy-st.github.io/hks-political-buttons/images/14550021.jpg","Guest: 14th Convention Massachusetts State Labor Council AFL-CIO Boston, MA",,,1971,11.1,"black"
"14550020.jpg","https://tracy-st.github.io/hks-political-buttons/images/14550020.jpg","Volpe","Governor","Republican",,10,"black"
"14550019.jpg","https://tracy-st.github.io/hks-political-buttons/images/14550019.jpg","Sidd for Treasurer","Treasurer","Democrat",1977,31.2,"pink"
"14550018.jpg","https://tracy-st.github.io/hks-political-buttons/images/14550018.jpg","For Selectman Myerson","Selectman",,,22.9,"white"
"14550017.jpg","https://tracy-st.github.io/hks-political-buttons/images/14550017.jpg","Congressman Vincent A. LoPresti","Congress","Democrat",1976,15.3,"gray"
"14550016.jpg","https://tracy-st.github.io/hks-political-buttons/images/14550016.jpg","Pete diCicco, Paul Quirk, Don Soule, Nick Roussos","President of MA state labor council","Democrat",1979,6.3,"pink"
"14550015.jpg","https://tracy-st.github.io/hks-political-buttons/images/14550015.jpg","Crane for President The Early Bird","President","Republican",1978,10,"black"
"14452448.jpg","https://tracy-st.github.io/hks-political-buttons/images/14452448.jpg","Let us continue ... Johnson-Humphrey","President","Democrat",,,"black"
"14452447.jpg","https://tracy-st.github.io/hks-political-buttons/images/14452447.jpg","1 of a kind",,,,,"gray"
"14452446.jpg","https://tracy-st.github.io/hks-political-buttons/images/14452446.jpg","Gene's the one in '81",,,1981,,"pink"
"14452445.jpg","https://tracy-st.github.io/hks-political-buttons/images/14452445.jpg","If I were 21 I'd vote for Kennedy",,,1960,,"gray"
"14452444.jpg","https://tracy-st.github.io/hks-political-buttons/images/14452444.jpg","I've registered Have you?",,,,,"black"
"14452442.jpg","https://tracy-st.github.io/hks-political-buttons/images/14452442.jpg","The Future is Education I'm mta",,,,7,"black"
