image_url,id,w_cm,idx,color,proportion,color_name
"14427377.jpg",14427377,"3",1,"#252320",0.2876666667,"black","King Must Go Because The 'T' Doesnât'"
"14427377.jpg",14427377,"3",1,"#252320",0.2876666667,"black","King Must Go Because The 'T' Doesnât'"
"14427377.jpg",14427377,"3",1,"#252320",0.2876666667,"black","King Must Go Because The 'T' Doesnât'"
"14427377.jpg",14427377,"3",1,"#252320",0.2876666667,"black","King Must Go Because The 'T' Doesnât'"
"14427377.jpg",14427377,"3",1,"#252320",0.2876666667,"black","King Must Go Because The 'T' Doesnât'"
"14427378.jpg",14427378,"5.7",1,"#235bba",0.2587,"gray","King O'Neill"
"14427378.jpg",14427378,"5.7",1,"#235bba",0.2587,"gray","King O'Neill"
"14427378.jpg",14427378,"5.7",1,"#235bba",0.2587,"gray","King O'Neill"
"14427378.jpg",14427378,"5.7",1,"#235bba",0.2587,"gray","King O'Neill"
"14427378.jpg",14427378,"5.7",1,"#235bba",0.2587,"gray","King O'Neill"
"14427376.jpg",14427376,"5.7",1,"#312e2b",0.3832444444,"black","King Governor McDowell Lt. Governor"
"14427376.jpg",14427376,"5.7",1,"#312e2b",0.3832444444,"black","King Governor McDowell Lt. Governor"
"14427376.jpg",14427376,"5.7",1,"#312e2b",0.3832444444,"black","King Governor McDowell Lt. Governor"
"14427376.jpg",14427376,"5.7",1,"#312e2b",0.3832444444,"black","King Governor McDowell Lt. Governor"
"14427376.jpg",14427376,"5.7",1,"#312e2b",0.3832444444,"black","King Governor McDowell Lt. Governor"
"14427374.jpg",14427374,"5.5",1,"#302c29",0.3918333333,"black","King Can't Do!"
"14427374.jpg",14427374,"5.5",1,"#302c29",0.3918333333,"black","King Can't Do!"
"14427374.jpg",14427374,"5.5",1,"#302c29",0.3918333333,"black","King Can't Do!"
"14427374.jpg",14427374,"5.5",1,"#302c29",0.3918333333,"black","King Can't Do!"
"14427374.jpg",14427374,"5.5",1,"#302c29",0.3918333333,"black","King Can't Do!"
"14427382.jpg",14427382,"4.4",1,"#dbd5c5",0.3242444444,"pink","Mel King Alcalde"
"14427382.jpg",14427382,"4.4",1,"#dbd5c5",0.3242444444,"pink","Mel King Alcalde"
"14427382.jpg",14427382,"4.4",1,"#dbd5c5",0.3242444444,"pink","Mel King Alcalde"
"14427382.jpg",14427382,"4.4",1,"#dbd5c5",0.3242444444,"pink","Mel King Alcalde"
"14427382.jpg",14427382,"4.4",1,"#dbd5c5",0.3242444444,"pink","Mel King Alcalde"
"14427381.jpg",14427381,"3.2",1,"#2a2b29",0.4107888889,"black","Mel"
"14427381.jpg",14427381,"3.2",1,"#2a2b29",0.4107888889,"black","Mel"
"14427381.jpg",14427381,"3.2",1,"#2a2b29",0.4107888889,"black","Mel"
"14427381.jpg",14427381,"3.2",1,"#2a2b29",0.4107888889,"black","Mel"
"14427381.jpg",14427381,"3.2",1,"#2a2b29",0.4107888889,"black","Mel"
"14427384.jpg",14427384,"5.5",1,"#f5cd66",0.4382888889,"pink","Mel King for mayor"
"14427384.jpg",14427384,"5.5",1,"#f5cd66",0.4382888889,"pink","Mel King for mayor"
"14427384.jpg",14427384,"5.5",1,"#f5cd66",0.4382888889,"pink","Mel King for mayor"
"14427384.jpg",14427384,"5.5",1,"#f5cd66",0.4382888889,"pink","Mel King for mayor"
"14427384.jpg",14427384,"5.5",1,"#f5cd66",0.4382888889,"pink","Mel King for mayor"
"14427386.jpg",14427386,"4",1,"#2f2e2b",0.4135444444,"black","Mel King Says...This is Our City"
"14427386.jpg",14427386,"4",1,"#2f2e2b",0.4135444444,"black","Mel King Says...This is Our City"
"14427386.jpg",14427386,"4",1,"#2f2e2b",0.4135444444,"black","Mel King Says...This is Our City"
"14427386.jpg",14427386,"4",1,"#2f2e2b",0.4135444444,"black","Mel King Says...This is Our City"
"14427386.jpg",14427386,"4",1,"#2f2e2b",0.4135444444,"black","Mel King Says...This is Our City"
"14427383.jpg",14427383,"5.5",1,"#332f2b",0.3991222222,"black","Mel King for mayor"
"14427383.jpg",14427383,"5.5",1,"#332f2b",0.3991222222,"black","Mel King for mayor"
"14427383.jpg",14427383,"5.5",1,"#332f2b",0.3991222222,"black","Mel King for mayor"
"14427383.jpg",14427383,"5.5",1,"#332f2b",0.3991222222,"black","Mel King for mayor"
"14427383.jpg",14427383,"5.5",1,"#332f2b",0.3991222222,"black","Mel King for mayor"
"14427385.jpg",14427385,"5.5",1,"#1ca4a6",0.04563333333,"gray","Mel King para Alcalde"
"14427385.jpg",14427385,"5.5",1,"#1ca4a6",0.04563333333,"gray","Mel King para Alcalde"
"14427385.jpg",14427385,"5.5",1,"#1ca4a6",0.04563333333,"gray","Mel King para Alcalde"
"14427385.jpg",14427385,"5.5",1,"#1ca4a6",0.04563333333,"gray","Mel King para Alcalde"
"14427385.jpg",14427385,"5.5",1,"#1ca4a6",0.04563333333,"gray","Mel King para Alcalde"
"14427380.jpg",14427380,"5.5",1,"#302d2a",0.4051,"black","Jack King"
"14427380.jpg",14427380,"5.5",1,"#302d2a",0.4051,"black","Jack King"
"14427380.jpg",14427380,"5.5",1,"#302d2a",0.4051,"black","Jack King"
