iiifid,libraryId,frequency,Hex,R,G,B,name,earliest_date,latest_date,wcm,dim2cm,dim3cm,person,party,location,office
502297764,105789396,0.4585113525,#161514,22,21,20,Against Apatheid ,,,3.8,,,,,,
502297764,105789396,0.3433532715,#212120,33,33,32,Against Apatheid ,,,3.8,,,,,,
502297764,105789396,0.07536315918,#979280,151,146,128,Against Apatheid ,,,3.8,,,,,,
502297764,105789396,0.07180786133,#ADA794,173,167,148,Against Apatheid ,,,3.8,,,,,,
502297764,105789396,0.05096435547,#4F4C46,79,76,70,Against Apatheid ,,,3.8,,,,,,
502297761,105789394,0.5476074219,#16374F,22,55,79,Safe Energy ; The Answer is Blowing in the Wind,,,4.4,,,,,,
502297761,105789394,0.2671966553,#1F1F1F,31,31,31,Safe Energy ; The Answer is Blowing in the Wind,,,4.4,,,,,,
502297761,105789394,0.0867767334,#B49B1D,180,155,29,Safe Energy ; The Answer is Blowing in the Wind,,,4.4,,,,,,
502297761,105789394,0.07124328613,#435665,67,86,101,Safe Energy ; The Answer is Blowing in the Wind,,,4.4,,,,,,
502297761,105789394,0.02717590332,#706E35,112,110,53,Safe Energy ; The Answer is Blowing in the Wind,,,4.4,,,,,,
502297758,105789392,0.3656921387,#9A2D51,154,45,81,[Peace Dove],,,2.5,,,,,,
502297758,105789392,0.2978973389,#232020,35,32,32,[Peace Dove],,,2.5,,,,,,
502297758,105789392,0.2184448242,#A39387,163,147,135,[Peace Dove],,,2.5,,,,,,
502297758,105789392,0.08512878418,#B25D6F,178,93,111,[Peace Dove],,,2.5,,,,,,
502297758,105789392,0.03283691406,#5B323B,91,50,59,[Peace Dove],,,2.5,,,,,,
502297755,105789390,0.5130615234,#CAAE43,202,174,67,Je T'apporter une Espérance (I Bring You A Hope),,,5.6,,,,,,
502297755,105789390,0.2574005127,#21201E,33,32,30,Je T'apporter une Espérance (I Bring You A Hope),,,5.6,,,,,,
502297755,105789390,0.1578674316,#DFC463,223,196,99,Je T'apporter une Espérance (I Bring You A Hope),,,5.6,,,,,,
502297755,105789390,0.04653930664,#2E662C,46,102,44,Je T'apporter une Espérance (I Bring You A Hope),,,5.6,,,,,,
502297755,105789390,0.02513122559,#7E883A,126,136,58,Je T'apporter une Espérance (I Bring You A Hope),,,5.6,,,,,,
502297752,105789388,0.3310852051,#CBC6BD,203,198,189,I'm a Canadian Youth for Peace,,,5.6,,,,,,
502297752,105789388,0.2586669922,#212121,33,33,33,I'm a Canadian Youth for Peace,,,5.6,,,,,,
502297752,105789388,0.1712188721,#403C37,64,60,55,I'm a Canadian Youth for Peace,,,5.6,,,,,,
502297752,105789388,0.1200256348,#83695E,131,105,94,I'm a Canadian Youth for Peace,,,5.6,,,,,,
502297752,105789388,0.1190032959,#A69588,166,149,136,I'm a Canadian Youth for Peace,,,5.6,,,,,,
502297749,105789386,0.3368682861,#3C4582,60,69,130,Against War,,,5.7,,,,,,
502297749,105789386,0.2944793701,#C9C7C3,201,199,195,Against War,,,5.7,,,,,,
502297749,105789386,0.2832794189,#212121,33,33,33,Against War,,,5.7,,,,,,
502297749,105789386,0.06178283691,#E4723B,228,114,59,Against War,,,5.7,,,,,,
502297749,105789386,0.02359008789,#0E0C10,14,12,16,Against War,,,5.7,,,,,,
502297746,105789384,0.5560913086,#272421,39,36,33,Nej Til Neutronbomben ; Fredscentret Giro (No to the Neutron Bomb ;  Giro Peace Center),,,3.8,,,,,,
502297746,105789384,0.1684112549,#A7A08F,167,160,143,Nej Til Neutronbomben ; Fredscentret Giro (No to the Neutron Bomb ;  Giro Peace Center),,,3.8,,,,,,
502297746,105789384,0.1580810547,#BFB8A6,191,184,166,Nej Til Neutronbomben ; Fredscentret Giro (No to the Neutron Bomb ;  Giro Peace Center),,,3.8,,,,,,
