"filename","metadata.image_source","frequency","hex","R","G","B","image_url","name","office","party","date_int","w_cm"
"14022768.jpg","map/images/14022768.jpg",0.353546142578125,"#292624",41,38,36,"https://tracy-st.github.io/hks-political-buttons/images/14022768.jpg","Bob Abrams: Ally of the People","Attorney General","Democrat",1986,
"14022768.jpg","map/images/14022768.jpg",0.106216430664062,"#172C7E",23,44,126,"https://tracy-st.github.io/hks-political-buttons/images/14022768.jpg","Bob Abrams: Ally of the People","Attorney General","Democrat",1986,
"14022768.jpg","map/images/14022768.jpg",0.04598999023437501,"#957F8E",149,127,142,"https://tracy-st.github.io/hks-political-buttons/images/14022768.jpg","Bob Abrams: Ally of the People","Attorney General","Democrat",1986,
"14022768.jpg","map/images/14022768.jpg",0.090011596679687,"#C3BFB3",195,191,179,"https://tracy-st.github.io/hks-political-buttons/images/14022768.jpg","Bob Abrams: Ally of the People","Attorney General","Democrat",1986,
"14022768.jpg","map/images/14022768.jpg",0.40423583984375,"#DCD2C0",220,210,192,"https://tracy-st.github.io/hks-political-buttons/images/14022768.jpg","Bob Abrams: Ally of the People","Attorney General","Democrat",1986,
"14022769.jpg","map/images/14022769.jpg",0.18698120117187503,"#211D19",33,29,25,"https://tracy-st.github.io/hks-political-buttons/images/14022769.jpg","Re-relect Abrams Selectman","Selectman","Democrat",,
"14022769.jpg","map/images/14022769.jpg",0.360336303710937,"#2F2B29",47,43,41,"https://tracy-st.github.io/hks-political-buttons/images/14022769.jpg","Re-relect Abrams Selectman","Selectman","Democrat",,
"14022769.jpg","map/images/14022769.jpg",0.031509399414062,"#6F6A61",111,106,97,"https://tracy-st.github.io/hks-political-buttons/images/14022769.jpg","Re-relect Abrams Selectman","Selectman","Democrat",,
"14022769.jpg","map/images/14022769.jpg",0.035919189453125,"#B1ABA0",177,171,160,"https://tracy-st.github.io/hks-political-buttons/images/14022769.jpg","Re-relect Abrams Selectman","Selectman","Democrat",,
"14022769.jpg","map/images/14022769.jpg",0.38525390625,"#E3DCCE",227,220,206,"https://tracy-st.github.io/hks-political-buttons/images/14022769.jpg","Re-relect Abrams Selectman","Selectman","Democrat",,
"14022770.jpg","map/images/14022770.jpg",0.161148071289062,"#1B1714",27,23,20,"https://tracy-st.github.io/hks-political-buttons/images/14022770.jpg","Vote Abrams Selectman","Selectman","Democrat",,
"14022770.jpg","map/images/14022770.jpg",0.36988830566406206,"#2F2B28",47,43,40,"https://tracy-st.github.io/hks-political-buttons/images/14022770.jpg","Vote Abrams Selectman","Selectman","Democrat",,
"14022770.jpg","map/images/14022770.jpg",0.027923583984375,"#6C675E",108,103,94,"https://tracy-st.github.io/hks-political-buttons/images/14022770.jpg","Vote Abrams Selectman","Selectman","Democrat",,
"14022770.jpg","map/images/14022770.jpg",0.030319213867187,"#ACA69B",172,166,155,"https://tracy-st.github.io/hks-political-buttons/images/14022770.jpg","Vote Abrams Selectman","Selectman","Democrat",,
"14022770.jpg","map/images/14022770.jpg",0.41072082519531206,"#E3DCCE",227,220,206,"https://tracy-st.github.io/hks-political-buttons/images/14022770.jpg","Vote Abrams Selectman","Selectman","Democrat",,
"14022771.jpg","map/images/14022771.jpg",0.353591918945312,"#2D2927",45,41,39,"https://tracy-st.github.io/hks-political-buttons/images/14022771.jpg","Wendy Abt Democrat for State Senate","State Senate","Democrat",1980,
"14022771.jpg","map/images/14022771.jpg",0.024322509765625,"#1B91B0",27,145,176,"https://tracy-st.github.io/hks-political-buttons/images/14022771.jpg","Wendy Abt Democrat for State Senate","State Senate","Democrat",1980,
"14022771.jpg","map/images/14022771.jpg",0.024124145507812,"#87AAB0",135,170,176,"https://tracy-st.github.io/hks-political-buttons/images/14022771.jpg","Wendy Abt Democrat for State Senate","State Senate","Democrat",1980,
"14022771.jpg","map/images/14022771.jpg",0.147689819335937,"#E6C0A7",230,192,167,"https://tracy-st.github.io/hks-political-buttons/images/14022771.jpg","Wendy Abt Democrat for State Senate","State Senate","Democrat",1980,
"14022771.jpg","map/images/14022771.jpg",0.45027160644531206,"#E0D6C8",224,214,200,"https://tracy-st.github.io/hks-political-buttons/images/14022771.jpg","Wendy Abt Democrat for State Senate","State Senate","Democrat",1980,
"14022772.jpg","map/images/14022772.jpg",0.2135009765625,"#110F6D",17,15,109,"https://tracy-st.github.io/hks-political-buttons/images/14022772.jpg","Silhouette of Bella Abzug",,"Democrat",,
"14022772.jpg","map/images/14022772.jpg",0.48738098144531206,"#2D2927",45,41,39,"https://tracy-st.github.io/hks-political-buttons/images/14022772.jpg","Silhouette of Bella Abzug",,"Democrat",,
"14022772.jpg","map/images/14022772.jpg",0.013748168945312,"#6B7177",107,113,119,"https://tracy-st.github.io/hks-political-buttons/images/14022772.jpg","Silhouette of Bella Abzug",,"Democrat",,
"14022772.jpg","map/images/14022772.jpg",0.0257568359375,"#BFB59E",191,181,158,"https://tracy-st.github.io/hks-political-buttons/images/14022772.jpg","Silhouette of Bella Abzug",,"Democrat",,
"14022772.jpg","map/images/14022772.jpg",0.259613037109375,"#E0D0B3",224,208,179,"https://tracy-st.github.io/hks-political-buttons/images/14022772.jpg","Silhouette of Bella Abzug",,"Democrat",,
"14022773.jpg","map/images/14022773.jpg",0.4320068359375,"#2A2725",42,39,37,"https://tracy-st.github.io/hks-political-buttons/images/14022773.jpg","Bella",,"Democrat",,
"14022773.jpg","map/images/14022773.jpg",0.152053833007812,"#1581B3",21,129,179,"https://tracy-st.github.io/hks-political-buttons/images/14022773.jpg","Bella",,"Democrat",,
"14022773.jpg","map/images/14022773.jpg",0.00823974609375,"#8F8878",143,136,120,"https://tracy-st.github.io/hks-political-buttons/images/14022773.jpg","Bella",,"Democrat",,
"14022773.jpg","map/images/14022773.jpg",0.014129638671875,"#6EAFBE",110,175,190,"https://tracy-st.github.io/hks-political-buttons/images/14022773.jpg","Bella",,"Democrat",,
