hex_code,R,G,B
#5f5c5e,95,92,94
#d5d4e1,213,212,225
#29292b,41,41,43
#cb3341,203,51,65
#aa97a1,170,151,161
#18315b,24,49,91
#463f5d,70,63,93
#212121,33,33,33
#b85a39,184,90,57
#9fa2b6,159,162,182
#cbc9d0,203,201,208
#222222,34,34,34
#b3b1b7,179,177,183
#232e52,35,46,82
#71525c,113,82,92
#3d3531,61,53,49
#9e9284,158,146,132
#222221,34,34,33
#6f665e,111,102,94
#aea595,174,165,149
#123a67,18,58,103
#b0b2bf,176,178,191
#699557,105,149,87
#1e1e1e,30,30,30
#536780,83,103,128
#212121,33,33,33
#909eba,144,158,186
#d3d4e3,211,212,227
#293959,41,57,89
#3f76ad,63,118,173
#d2b6a5,210,182,165
#473f3b,71,63,59
#cb4f5c,203,79,92
#ca7a7d,202,122,125
#242322,36,35,34
#1f1f1f,31,31,31
#adaaaf,173,170,175
#7b937d,123,147,125
#224575,34,69,117
#bbb8be,187,184,190
#d0b49d,208,180,157
#232222,35,34,34
#8c3649,140,54,73
#d6d1ce,214,209,206
#a46e71,164,110,113
#8492b3,132,146,179
#232021,35,32,33
#545d86,84,93,134
#273369,39,51,105
#8b5f56,139,95,86
#616d89,97,109,137
#acacb4,172,172,180
#1f1f1f,31,31,31
#c2c1c9,194,193,201
#313a5c,49,58,92
#232323,35,35,35
#d9d4cb,217,212,203
#0c90b2,12,144,178
#c1bfb5,193,191,181
#6daab5,109,170,181
#1f1e1e,31,30,30
#a7a8a8,167,168,168
#484049,72,64,73
#67696f,103,105,111
#1c2231,28,34,49
#26457c,38,69,124
#98a3c8,152,163,200
#222222,34,34,34
#dedfef,222,223,239
#55668d,85,102,141
#d1cec7,209,206,199
#1f2123,31,33,35
#b8b7b2,184,183,178
#584f59,88,79,89
#8c888c,140,136,140
#e1ddd2,225,221,210
#242424,36,36,36
#5b5854,91,88,84
#ccc7b9,204,199,185
#95928b,149,146,139
#626b81,98,107,129
#192e57,25,46,87
#b3b4c0,179,180,192
#1f1f1f,31,31,31
#972431,151,36,49
#ceced5,206,206,213
#242323,36,35,35
#844f4f,132,79,79
#9e8990,158,137,144
#23397f,35,57,127
#1f1f1f,31,31,31
#b7b5be,183,181,190
#7b7281,123,114,129
#1f2d4a,31,45,74
#7e232c,126,35,44
#b02d33,176,45,51
#232121,35,33,33
#d3d4dc,211,212,220
#263140,38,49,64
#ac7475,172,116,117
#201e1f,32,30,31
#ae2656,174,38,86
#af5f79,175,95,121
#9e1e4c,158,30,76
#b8a2b3,184,162,179
#c23f3f,194,63,63
#2f3053,47,48,83
#d1cad5,209,202,213
#7a7383,122,115,131
#202020,32,32,32
#cdccd2,205,204,210
#222222,34,34,34
#ab2933,171,41,51
#203a60,32,58,96
#9b868e,155,134,142
#ac1f83,172,31,131
#aba8b3,171,168,179
#1f1f1f,31,31,31
#6c8a42,108,138,66
#c0becc,192,190,204
#614536,97,69,54
#d8d1bf,216,209,191
#a46645,164,102,69
#bc9176,188,145,118
#252322,37,35,34
#922848,146,40,72
#b0aeb6,176,174,182
#7d6888,125,104,136
#163c6f,22,60,111
#202021,32,32,33
#201f1f,32,31,31
#bc90a4,188,144,164
#a53963,165,57,99
#bbb7c9,187,183,201
#ae6581,174,101,129
#163666,22,54,102
#cfc4be,207,196,190
#1f212c,31,33,44
#b08686,176,134,134
#664e5a,102,78,90
#201e1f,32,30,31
#92817b,146,129,123
#962e35,150,46,53
#23385c,35,56,92
#b3aca6,179,172,166
#c4292c,196,41,44
#dedbd3,222,219,211
#243a85,36,58,133
#ad9e9c,173,158,156
#232221,35,34,33
#7c3f32,124,63,50
#bebab3,190,186,179
#46416c,70,65,108
#272625,39,38,37
#827f81,130,127,129
#182c75,24,44,117
#201f21,32,31,33
#9ca0a8,156,160,168
#9a262e,154,38,46
#465689,70,86,137
#a9a9ad,169,169,173
#20201f,32,32,31
#292561,41,37,97
#b72e36,183,46,54
#867283,134,114,131
#60a1a2,96,161,162
#067a9c,6,122,156
#28273d,40,39,61
#e8df23,232,223,35
#d4dace,212,218,206
#afa247,175,162,71
#272b53,39,43,83
#50517a,80,81,122
#292674,41,38,116
#1e1e1f,30,30,31
#bf4639,191,70,57
#57302b,87,48,43
#cea057,206,160,87
#232120,35,33,32
#b1694c,177,105,76
#d8d0c7,216,208,199
#2093b5,32,147,181
#262524,38,37,36
#7a8486,122,132,134
#a9aead,169,174,173
#1f1f1f,31,31,31
#b5b5ba,181,181,186
#045947,4,89,71
#658b83,101,139,131
#366e60,54,110,96
#5c5877,92,88,119
#1f6590,31,101,144
#1f1f1f,31,31,31
#873349,135,51,73
#b6b4c0,182,180,192
#d9d6dc,217,214,220
#ba383f,186,56,63
#2b2727,43,39,39
#64494b,100,73,75
#a69396,166,147,150
#1e1f1f,30,31,31
#c3c3cb,195,195,203
#0d4d65,13,77,101
#859dad,133,157,173
#446879,68,104,121
#b8bdc2,184,189,194
#24416e,36,65,110
#222222,34,34,34
#d6d8db,214,216,219
#687891,104,120,145
#1f1f1f,31,31,31
#b4b5c8,180,181,200
#626e8a,98,110,138
#273a5f,39,58,95
#989faf,152,159,175
#282622,40,38,34
#338175,51,129,117
#c6b981,198,185,129
#768e7a,118,142,122
#435345,67,83,69
#28251f,40,37,31
#b98503,185,133,3
#144341,20,67,65
#b39c6e,179,156,110
#68541d,104,84,29
#ad4a49,173,74,73
#211f1e,33,31,30
#c1bb9e,193,187,158
#a41e25,164,30,37
#b98776,185,135,118
#1f1f1f,31,31,31
#c5c4cc,197,196,204
#8a3e53,138,62,83
#29688f,41,104,143
#868298,134,130,152
#0f78a9,15,120,169
#ccc8c1,204,200,193
#242423,36,36,35
#68a7bf,104,167,191
#b8818c,184,129,140
#8d4821,141,72,33
#171615,23,22,21
#a2954b,162,149,75
#b4a562,180,165,98
#9f7524,159,117,36
#bec2cd,190,194,205
#278cae,39,140,174
#83267d,131,38,125
#cbc214,203,194,20
#222c34,34,44,52
#acacb3,172,172,179
#222120,34,33,32
#b08236,176,130,54
#655d50,101,93,80
#bdbcc3,189,188,195
#232152,35,33,82
#cbc7bd,203,199,189
#222122,34,33,34
#9191a1,145,145,161
#565676,86,86,118
#b38a9b,179,138,155
#232223,35,34,35
#ae3c42,174,60,66
#465688,70,86,136
#cfcfe4,207,207,228
#1f1f1e,31,31,30
#504f5d,80,79,93
#232539,35,37,57
#9b394b,155,57,75
#437da1,67,125,161
#7d5f7c,125,95,124
#201f1f,32,31,31
#684167,104,65,103
#9f93a2,159,147,162
#4d324f,77,50,79
#232121,35,33,33
#ddd8d5,221,216,213
#3846a2,56,70,162
#d25157,210,81,87
