filename,hex_code,R,G,B,color_name
color_1.png,#5f5c5e,95,92,94,dimgray
color_2.png,#d5d4e1,213,212,225,gainsboro
color_3.png,#29292b,41,41,43,darkslategray
color_4.png,#cb3341,203,51,65,crimson
color_5.png,#aa97a1,170,151,161,darkgray
color_6.png,#18315b,24,49,91,midnightblue
color_7.png,#463f5d,70,63,93,darkslategray
color_8.png,#212121,33,33,33,black
color_9.png,#b85a39,184,90,57,sienna
color_10.png,#9fa2b6,159,162,182,darkgray
color_11.png,#cbc9d0,203,201,208,lightgray
color_12.png,#222222,34,34,34,black
color_13.png,#b3b1b7,179,177,183,darkgray
color_14.png,#232e52,35,46,82,darkslategray
color_15.png,#71525c,113,82,92,dimgray
color_16.png,#3d3531,61,53,49,darkslategray
color_17.png,#9e9284,158,146,132,rosybrown
color_18.png,#222221,34,34,33,black
color_19.png,#6f665e,111,102,94,dimgray
color_20.png,#aea595,174,165,149,darkgray
color_21.png,#123a67,18,58,103,midnightblue
color_22.png,#b0b2bf,176,178,191,silver
color_23.png,#699557,105,149,87,dimgray
color_24.png,#1e1e1e,30,30,30,black
color_25.png,#536780,83,103,128,dimgray
color_26.png,#212121,33,33,33,black
color_27.png,#909eba,144,158,186,darkgray
color_28.png,#d3d4e3,211,212,227,gainsboro
color_29.png,#293959,41,57,89,darkslategray
color_30.png,#3f76ad,63,118,173,steelblue
color_31.png,#d2b6a5,210,182,165,tan
color_32.png,#473f3b,71,63,59,darkslategray
color_33.png,#cb4f5c,203,79,92,indianred
color_34.png,#ca7a7d,202,122,125,palevioletred
color_35.png,#242322,36,35,34,black
color_36.png,#1f1f1f,31,31,31,black
color_37.png,#adaaaf,173,170,175,darkgray
color_38.png,#7b937d,123,147,125,gray
color_39.png,#224575,34,69,117,darkslategray
color_40.png,#bbb8be,187,184,190,silver
color_41.png,#d0b49d,208,180,157,tan
color_42.png,#232222,35,34,34,black
color_43.png,#8c3649,140,54,73,brown
color_44.png,#d6d1ce,214,209,206,lightgray
color_45.png,#a46e71,164,110,113,gray
color_46.png,#8492b3,132,146,179,lightslategray
color_47.png,#232021,35,32,33,black
color_48.png,#545d86,84,93,134,darkslateblue
color_49.png,#273369,39,51,105,midnightblue
color_50.png,#8b5f56,139,95,86,dimgray
color_51.png,#616d89,97,109,137,slategray
color_52.png,#acacb4,172,172,180,darkgray
color_53.png,#1f1f1f,31,31,31,black
color_54.png,#c2c1c9,194,193,201,silver
color_55.png,#313a5c,49,58,92,darkslategray
color_56.png,#232323,35,35,35,black
